id,name,population
1,Álava,100000
2,Albacete,169716
3,Alicante,328648
4,Almería,188810
5,Asturias,224005
6,Ávila,100000
7,Badajoz,148334
8,Baleares,100000
9,Barcelona,1604555
10,Burgos,178966
11,Cáceres,100000
12,Cádiz,126766
13,Cantabria,182700
14,Castellón,180005
15,Ceuta,84674
16,Ciudad,Real,100000
17,Córdoba,327362
18,Cuenca,100000
19,Gerona,100000
20,Granada,234325
21,Guadalajara,100000
22,Gipuzkoa,100000
23,Huelva,148806
24,Huesca,100000
25,Jaén,100000
26,La Coruña,100000
27,La Rioja,152107
28,Las Palmas,379766
29,León,134305
30,Lérida,135919
31,Lugo,100000
32,Madrid,3141991
33,Málaga,569130
34,Melilla,83870
35,Murcia,439889
36,Navarra,100000
37,Orense,100000
38,Palencia,100000
39,Pontevedra,100000
40,Salamanca,155619
41,Santa Cruz de Tenerife,100000
42,Segovia,100000
43,Sevilla,693878
44,Soria,100000
45,Tarragona,140323
46,Teruel,100000
47,Toledo,100000
48,Valencia,786189
49,Valladolid,303905
50,Bizkaia,345141
51,Zamora,100000
52,Zaragoza,664953
